"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 07 02:20:57 GMT 2022","Sun Aug 07 02:20:58 GMT 2022","1405","","","","","","Validate Council Output -- @1.1 Testing : BlackburnCouncil",""
"passed","Sun Aug 07 02:24:17 GMT 2022","Sun Aug 07 02:24:19 GMT 2022","1703","","","","","","Validate Council Output -- @1.9 Testing : MidSussexDistrictCouncil",""
"broken","Sun Aug 07 02:24:23 GMT 2022","Sun Aug 07 02:24:23 GMT 2022","2","","","","","","Validate Council Output -- @1.13 Testing : StHelensBC",""
"broken","Sun Aug 07 02:24:19 GMT 2022","Sun Aug 07 02:24:19 GMT 2022","2","","","","","","Validate Council Output -- @1.10 Testing : NELincs",""
"broken","Sun Aug 07 02:24:23 GMT 2022","Sun Aug 07 02:24:23 GMT 2022","3","","","","","","Validate Council Output -- @1.15 Testing : TorridgeDistrictCouncil",""
"passed","Sun Aug 07 02:24:19 GMT 2022","Sun Aug 07 02:24:23 GMT 2022","4515","","","","","","Validate Council Output -- @1.12 Testing : SouthTynesideCouncil",""
"broken","Sun Aug 07 02:21:06 GMT 2022","Sun Aug 07 02:21:06 GMT 2022","2","","","","","","Validate Council Output -- @1.7 Testing : HuntingdonDistrictCouncil",""
"passed","Sun Aug 07 02:24:35 GMT 2022","Sun Aug 07 02:24:39 GMT 2022","4327","","","","","","Validate Council Output -- @1.19 Testing : YorkCouncil",""
"broken","Sun Aug 07 02:24:19 GMT 2022","Sun Aug 07 02:24:19 GMT 2022","3","","","","","","Validate Council Output -- @1.11 Testing : NewcastleCityCouncil",""
"broken","Sun Aug 07 02:24:35 GMT 2022","Sun Aug 07 02:24:35 GMT 2022","2","","","","","","Validate Council Output -- @1.18 Testing : WiganBoroughCouncil",""
"broken","Sun Aug 07 02:21:06 GMT 2022","Sun Aug 07 02:21:06 GMT 2022","3","","","","","","Validate Council Output -- @1.6 Testing : EastDevonDC",""
"passed","Sun Aug 07 02:21:04 GMT 2022","Sun Aug 07 02:21:06 GMT 2022","2243","","","","","","Validate Council Output -- @1.4 Testing : CheshireEastCouncil",""
"broken","Sun Aug 07 02:24:23 GMT 2022","Sun Aug 07 02:24:23 GMT 2022","2","","","","","","Validate Council Output -- @1.14 Testing : StockportBoroughCouncil",""
"passed","Sun Aug 07 02:21:06 GMT 2022","Sun Aug 07 02:24:17 GMT 2022","190737","","","","","","Validate Council Output -- @1.8 Testing : LeedsCityCouncil",""
"broken","Sun Aug 07 02:24:23 GMT 2022","Sun Aug 07 02:24:23 GMT 2022","2","","","","","","Validate Council Output -- @1.16 Testing : WakefieldCityCouncil",""
"broken","Sun Aug 07 02:21:06 GMT 2022","Sun Aug 07 02:21:06 GMT 2022","2","","","","","","Validate Council Output -- @1.5 Testing : CrawleyBoroughCouncil",""
"passed","Sun Aug 07 02:21:02 GMT 2022","Sun Aug 07 02:21:04 GMT 2022","2105","","","","","","Validate Council Output -- @1.3 Testing : CastlepointDistrictCouncil",""
"passed","Sun Aug 07 02:24:23 GMT 2022","Sun Aug 07 02:24:35 GMT 2022","11203","","","","","","Validate Council Output -- @1.17 Testing : WarwickDistrictCouncil",""
"passed","Sun Aug 07 02:20:58 GMT 2022","Sun Aug 07 02:21:02 GMT 2022","4062","","","","","","Validate Council Output -- @1.2 Testing : CardiffCouncil",""
