"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 04 08:01:01 GMT 2022","Thu Aug 04 08:01:01 GMT 2022","2","","","","","","Validate Council Output -- @1.14 Testing : TorridgeDistrictCouncil",""
"broken","Thu Aug 04 07:58:40 GMT 2022","Thu Aug 04 07:58:40 GMT 2022","2","","","","","","Validate Council Output -- @1.4 Testing : CrawleyBoroughCouncil",""
"passed","Thu Aug 04 08:00:56 GMT 2022","Thu Aug 04 08:00:58 GMT 2022","2032","","","","","","Validate Council Output -- @1.8 Testing : MidSussexDistrictCouncil",""
"broken","Thu Aug 04 07:58:40 GMT 2022","Thu Aug 04 07:58:40 GMT 2022","1","","","","","","Validate Council Output -- @1.6 Testing : HuntingdonDistrictCouncil",""
"broken","Thu Aug 04 08:00:58 GMT 2022","Thu Aug 04 08:00:58 GMT 2022","1","","","","","","Validate Council Output -- @1.9 Testing : NELincs",""
"passed","Thu Aug 04 07:58:40 GMT 2022","Thu Aug 04 08:00:56 GMT 2022","136269","","","","","","Validate Council Output -- @1.7 Testing : LeedsCityCouncil",""
"broken","Thu Aug 04 08:00:58 GMT 2022","Thu Aug 04 08:00:58 GMT 2022","2","","","","","","Validate Council Output -- @1.10 Testing : NewcastleCityCouncil",""
"broken","Thu Aug 04 08:01:01 GMT 2022","Thu Aug 04 08:01:01 GMT 2022","2","","","","","","Validate Council Output -- @1.13 Testing : StockportBoroughCouncil",""
"passed","Thu Aug 04 07:58:32 GMT 2022","Thu Aug 04 07:58:33 GMT 2022","1116","","","","","","Validate Council Output -- @1.1 Testing : BlackburnCouncil",""
"passed","Thu Aug 04 08:00:58 GMT 2022","Thu Aug 04 08:01:01 GMT 2022","3301","","","","","","Validate Council Output -- @1.11 Testing : SouthTynesideCouncil",""
"passed","Thu Aug 04 07:58:37 GMT 2022","Thu Aug 04 07:58:40 GMT 2022","2962","","","","","","Validate Council Output -- @1.3 Testing : CheshireEastCouncil",""
"broken","Thu Aug 04 08:01:01 GMT 2022","Thu Aug 04 08:01:01 GMT 2022","2","","","","","","Validate Council Output -- @1.12 Testing : StHelensBC",""
"broken","Thu Aug 04 07:58:40 GMT 2022","Thu Aug 04 07:58:40 GMT 2022","2","","","","","","Validate Council Output -- @1.5 Testing : EastDevonDC",""
"broken","Thu Aug 04 08:01:04 GMT 2022","Thu Aug 04 08:01:04 GMT 2022","2","","","","","","Validate Council Output -- @1.17 Testing : WiganBoroughCouncil",""
"passed","Thu Aug 04 08:01:01 GMT 2022","Thu Aug 04 08:01:04 GMT 2022","2295","","","","","","Validate Council Output -- @1.16 Testing : WarwickDistrictCouncil",""
"broken","Thu Aug 04 08:01:01 GMT 2022","Thu Aug 04 08:01:01 GMT 2022","2","","","","","","Validate Council Output -- @1.15 Testing : WakefieldCityCouncil",""
"passed","Thu Aug 04 07:58:33 GMT 2022","Thu Aug 04 07:58:37 GMT 2022","3949","","","","","","Validate Council Output -- @1.2 Testing : CardiffCouncil",""
