"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 25 02:28:51 GMT 2022","Thu Aug 25 02:28:54 GMT 2022","3115","","","","","","Validate Council Output -- @1.1 Testing : BlackburnCouncil",""
"broken","Thu Aug 25 02:31:25 GMT 2022","Thu Aug 25 02:31:25 GMT 2022","2","","","","","","Validate Council Output -- @1.14 Testing : StockportBoroughCouncil",""
"passed","Thu Aug 25 02:31:30 GMT 2022","Thu Aug 25 02:31:34 GMT 2022","3892","","","","","","Validate Council Output -- @1.20 Testing : YorkCouncil",""
"broken","Thu Aug 25 02:29:00 GMT 2022","Thu Aug 25 02:29:00 GMT 2022","1","","","","","","Validate Council Output -- @1.6 Testing : EastDevonDC",""
"broken","Thu Aug 25 02:29:00 GMT 2022","Thu Aug 25 02:29:00 GMT 2022","2","","","","","","Validate Council Output -- @1.7 Testing : HuntingdonDistrictCouncil",""
"passed","Thu Aug 25 02:29:00 GMT 2022","Thu Aug 25 02:31:18 GMT 2022","137358","","","","","","Validate Council Output -- @1.8 Testing : LeedsCityCouncil",""
"broken","Thu Aug 25 02:31:27 GMT 2022","Thu Aug 25 02:31:27 GMT 2022","1","","","","","","Validate Council Output -- @1.18 Testing : WiganBoroughCouncil",""
"passed","Thu Aug 25 02:31:25 GMT 2022","Thu Aug 25 02:31:27 GMT 2022","2088","","","","","","Validate Council Output -- @1.17 Testing : WarwickDistrictCouncil",""
"broken","Thu Aug 25 02:31:19 GMT 2022","Thu Aug 25 02:31:19 GMT 2022","2","","","","","","Validate Council Output -- @1.11 Testing : NewcastleCityCouncil",""
"passed","Thu Aug 25 02:28:54 GMT 2022","Thu Aug 25 02:28:58 GMT 2022","3638","","","","","","Validate Council Output -- @1.2 Testing : CardiffCouncil",""
"broken","Thu Aug 25 02:29:00 GMT 2022","Thu Aug 25 02:29:00 GMT 2022","2","","","","","","Validate Council Output -- @1.5 Testing : CrawleyBoroughCouncil",""
"broken","Thu Aug 25 02:31:19 GMT 2022","Thu Aug 25 02:31:19 GMT 2022","1","","","","","","Validate Council Output -- @1.10 Testing : NELincs",""
"broken","Thu Aug 25 02:31:25 GMT 2022","Thu Aug 25 02:31:25 GMT 2022","1","","","","","","Validate Council Output -- @1.15 Testing : TorridgeDistrictCouncil",""
"broken","Thu Aug 25 02:31:25 GMT 2022","Thu Aug 25 02:31:25 GMT 2022","1","","","","","","Validate Council Output -- @1.13 Testing : StHelensBC",""
"passed","Thu Aug 25 02:31:27 GMT 2022","Thu Aug 25 02:31:30 GMT 2022","3404","","","","","","Validate Council Output -- @1.19 Testing : WindsorAndMaidenheadCouncil",""
"broken","Thu Aug 25 02:31:25 GMT 2022","Thu Aug 25 02:31:25 GMT 2022","2","","","","","","Validate Council Output -- @1.16 Testing : WakefieldCityCouncil",""
"passed","Thu Aug 25 02:28:58 GMT 2022","Thu Aug 25 02:29:00 GMT 2022","1919","","","","","","Validate Council Output -- @1.4 Testing : CheshireEastCouncil",""
"passed","Thu Aug 25 02:31:18 GMT 2022","Thu Aug 25 02:31:19 GMT 2022","1820","","","","","","Validate Council Output -- @1.9 Testing : MidSussexDistrictCouncil",""
"broken","Thu Aug 25 02:28:58 GMT 2022","Thu Aug 25 02:28:58 GMT 2022","719","","","","","","Validate Council Output -- @1.3 Testing : CastlepointDistrictCouncil",""
"passed","Thu Aug 25 02:31:19 GMT 2022","Thu Aug 25 02:31:25 GMT 2022","5283","","","","","","Validate Council Output -- @1.12 Testing : SouthTynesideCouncil",""
