"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 17:57:22 GMT 2022","Tue Nov 08 17:57:43 GMT 2022","21398","","","","","","Validate Council Output -- @1.24 Testing : WaverleyBoroughCouncil",""
"broken","Tue Nov 08 17:57:20 GMT 2022","Tue Nov 08 17:57:20 GMT 2022","2","","","","","","Validate Council Output -- @1.21 Testing : TorridgeDistrictCouncil",""
"passed","Tue Nov 08 17:57:56 GMT 2022","Tue Nov 08 17:57:58 GMT 2022","1497","","","","","","Validate Council Output -- @1.28 Testing : YorkCouncil",""
"passed","Tue Nov 08 17:53:10 GMT 2022","Tue Nov 08 17:53:12 GMT 2022","2054","","","","","","Validate Council Output -- @1.1 Testing : BexleyCouncil",""
"broken","Tue Nov 08 17:53:29 GMT 2022","Tue Nov 08 17:53:29 GMT 2022","2","","","","","","Validate Council Output -- @1.8 Testing : CrawleyBoroughCouncil",""
"passed","Tue Nov 08 17:53:13 GMT 2022","Tue Nov 08 17:53:20 GMT 2022","6803","","","","","","Validate Council Output -- @1.4 Testing : BristolCityCouncil",""
"broken","Tue Nov 08 17:53:35 GMT 2022","Tue Nov 08 17:53:35 GMT 2022","2","","","","","","Validate Council Output -- @1.12 Testing : HuntingdonDistrictCouncil",""
"passed","Tue Nov 08 17:53:12 GMT 2022","Tue Nov 08 17:53:13 GMT 2022","1569","","","","","","Validate Council Output -- @1.2 Testing : BlackburnCouncil",""
"passed","Tue Nov 08 17:53:29 GMT 2022","Tue Nov 08 17:53:32 GMT 2022","3414","","","","","","Validate Council Output -- @1.9 Testing : DoncasterCouncil",""
"passed","Tue Nov 08 17:57:50 GMT 2022","Tue Nov 08 17:57:53 GMT 2022","2976","","","","","","Validate Council Output -- @1.26 Testing : WiganBoroughCouncil",""
"broken","Tue Nov 08 17:53:13 GMT 2022","Tue Nov 08 17:53:13 GMT 2022","2","","","","","","Validate Council Output -- @1.3 Testing : BoltonCouncil",""
"broken","Tue Nov 08 17:53:32 GMT 2022","Tue Nov 08 17:53:32 GMT 2022","5","","","","","","Validate Council Output -- @1.10 Testing : EastDevonDC",""
"passed","Tue Nov 08 17:57:43 GMT 2022","Tue Nov 08 17:57:50 GMT 2022","6448","","","","","","Validate Council Output -- @1.25 Testing : WealdenDistrictCouncil",""
"broken","Tue Nov 08 17:53:26 GMT 2022","Tue Nov 08 17:53:27 GMT 2022","820","","","","","","Validate Council Output -- @1.6 Testing : CastlepointDistrictCouncil",""
"passed","Tue Nov 08 17:57:20 GMT 2022","Tue Nov 08 17:57:22 GMT 2022","1641","","","","","","Validate Council Output -- @1.23 Testing : WarwickDistrictCouncil",""
"passed","Tue Nov 08 17:57:53 GMT 2022","Tue Nov 08 17:57:56 GMT 2022","3339","","","","","","Validate Council Output -- @1.27 Testing : WindsorAndMaidenheadCouncil",""
"broken","Tue Nov 08 17:57:18 GMT 2022","Tue Nov 08 17:57:20 GMT 2022","2751","","","","","","Validate Council Output -- @1.18 Testing : SouthTynesideCouncil",""
"broken","Tue Nov 08 17:57:20 GMT 2022","Tue Nov 08 17:57:20 GMT 2022","3","","","","","","Validate Council Output -- @1.19 Testing : StHelensBC",""
"passed","Tue Nov 08 17:57:15 GMT 2022","Tue Nov 08 17:57:18 GMT 2022","2910","","","","","","Validate Council Output -- @1.15 Testing : MidSussexDistrictCouncil",""
"passed","Tue Nov 08 17:53:32 GMT 2022","Tue Nov 08 17:53:35 GMT 2022","2943","","","","","","Validate Council Output -- @1.11 Testing : FenlandDistrictCouncil",""
"passed","Tue Nov 08 17:53:35 GMT 2022","Tue Nov 08 17:57:09 GMT 2022","213231","","","","","","Validate Council Output -- @1.13 Testing : LeedsCityCouncil",""
"broken","Tue Nov 08 17:57:18 GMT 2022","Tue Nov 08 17:57:18 GMT 2022","3","","","","","","Validate Council Output -- @1.17 Testing : NewcastleCityCouncil",""
"broken","Tue Nov 08 17:57:18 GMT 2022","Tue Nov 08 17:57:18 GMT 2022","2","","","","","","Validate Council Output -- @1.16 Testing : NELincs",""
"passed","Tue Nov 08 17:53:20 GMT 2022","Tue Nov 08 17:53:26 GMT 2022","5907","","","","","","Validate Council Output -- @1.5 Testing : CardiffCouncil",""
"broken","Tue Nov 08 17:57:20 GMT 2022","Tue Nov 08 17:57:20 GMT 2022","3","","","","","","Validate Council Output -- @1.20 Testing : StockportBoroughCouncil",""
"passed","Tue Nov 08 17:53:27 GMT 2022","Tue Nov 08 17:53:29 GMT 2022","2163","","","","","","Validate Council Output -- @1.7 Testing : CheshireEastCouncil",""
"broken","Tue Nov 08 17:57:20 GMT 2022","Tue Nov 08 17:57:20 GMT 2022","2","","","","","","Validate Council Output -- @1.22 Testing : WakefieldCityCouncil",""
"passed","Tue Nov 08 17:57:09 GMT 2022","Tue Nov 08 17:57:15 GMT 2022","5966","","","","","","Validate Council Output -- @1.14 Testing : ManchesterCityCouncil",""
